MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368221370,2022-03-31T00:00:17,48.51256,-122.60889,0,216.8,511,VICKY JR,IMO0000000,WDM6013,37,,3,2,,,B
368197950,2022-03-31T00:00:19,27.76058,-82.63486,0.1,360,511,SECOND WIND,IMO0000000,,36,,13,8,,,B
367473140,2022-03-31T00:00:02,32.74603,-79.85187,0.1,268.3,511,VIRGINIAN,,WDF6332,90,3,54,18,,33,A
369970762,2022-03-31T00:00:00,32.72055,-117.61943,12,292.7,296,RSC-1,,,35,0,,,,35,A
368017210,2022-03-31T00:00:02,48.49268,-122.68032,0,20.6,511,SEA ESTA,IMO0000000,WDJ8515,37,,13,5,,,B
368186370,2022-03-31T00:00:03,25.31101,-80.27967,0,360,511,VICTORY,IMO0000000,WDM2246,37,,24,4,,,B
368174460,2022-03-31T00:00:03,30.08837,-91.31006,0,177.5,4,VAN PORT,IMO0000529,WDL8948,57,12,209,22,2.8,57,A
367007540,2022-03-31T00:00:04,28.76234,-95.65033,4.4,99.1,511,BROWN WATER VII,,WDC3416,31,0,17,6,,31,A
367710960,2022-03-31T00:00:06,28.32083,-96.66006,5.5,62.7,57,CAPT TROY GREEN,,WDI5675,31,0,,,,52,A
368106960,2022-03-31T00:00:08,47.39402,-122.46303,0,360,511,KAI MANU,IMO0000000,WDK9825,37,,3,0,,,B
366989960,2022-03-31T00:00:09,34.65877,-90.57762,10,214.3,205,TWYLA LUHR,,WDC2245,31,0,45,14,,31,A
338216539,2022-03-31T00:00:12,47.64973,-122.33013,0,184.3,511,CELEBRATE,IMO0000000,,37,,18,6,,,B
366959090,2022-03-31T00:00:03,29.77797,-95.10082,0.1,33.9,511,DANIELLE,,WDB8475,31,0,16,6,,52,A
240975000,2022-03-31T00:00:01,29.02183,-89.34005,9.6,32,39,KIMOLOS,IMO9405540,SVAV7,80,0,183,32,13.3,80,A
368023390,2022-03-31T00:00:06,24.57767,-81.80828,0.2,349.6,511,VAGABOND,IMO0000000,WDJ9170,37,,13,7,,,B
368207090,2022-03-31T00:00:00,28.94523,-89.40135,11.6,210.3,511,CAPT. BOB MOORE,,WDM4514,50,15,18,6,0,50,A
367702430,2022-03-31T00:00:01,29.99716,-90.80373,0,254.4,218,SAFETY GLORY,,WDI4827,31,0,21,8,,32,A
636016978,2022-03-31T00:00:02,32.16355,-79.84809,7.4,224.2,220,MSC TAVVISHI,IMO9189366,D5IR7,99,0,278,40,13.6,99,A
367515290,2022-03-31T00:00:05,30.04858,-90.56709,0,350.2,511,LADY OF FATIMA,,WDG2402,31,0,18,7,,57,A
564411000,2022-03-31T00:00:04,29.95339,-90.30581,0.1,249.3,216,THOR MONADIC,IMO9331220,9V8978,70,0,189,32,12.6,70,A
367638120,2022-03-31T00:00:11,36.98988,-89.1484,0.1,294,124,KELLY RAE ERICKSON,,WDH6453,31,12,51,13,,57,A
367070360,2022-03-31T00:00:14,46.16741,-123.91747,1.4,70.2,511,SOJOURN,,WDC7370,30,,17,6,,,B
316005616,2022-03-31T00:00:00,49.44258,-123.7416,2.5,167.3,511,STORM BANDIT,IMO8006309,CZ7389,31,11,20,8,3,52,A
377117000,2022-03-31T00:00:03,26.27292,-80.08065,0,348.8,7,ANTITHESIS,,J8Y4320,37,0,39,7,,37,A
368210950,2022-03-31T00:00:04,29.23546,-95.02227,5.9,232.5,226,CHRIS MILLER,IMO1307034,WDM4918,52,12,24,12,2.7,57,A
257435000,2022-03-31T00:00:05,29.50263,-89.70417,14.3,151.5,154,OSLO BULK 6,IMO9589968,LAHC8,70,0,108,18,4.3,70,A
